Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES
^-	NULL
-$	NULL
ht	ʰt
^*-	NULL
-_$	NULL
kx	kx
_?$	NULL
-_?$	NULL
*	NULL	NULL	NULL	87	U+002A	"*tlahi-tl,*wehey,*ɨs-tlɨ"	PA
?	NULL	NULL	NULL	11	U+003F	"*in- ?,*nelwa-tl ?,pix-t?"	PA,Poch
-	+	_	Marker	675	U+002D	"-un-i,toːtoː-tl,tzon-kal"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
a	a	A	Vowel	405	U+0061	"-kwitlapil,aʔmoː,yewal-tik"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
b	b	P	Consonant	25	U+0062	"-ba-gahlo,-bwaː,bawi-t"	JNa,PNa,TNa
c	c	C	Consonant	1	U+0063	"mo-teːca"	MNa
e	e	E	Vowel	199	U+0065	"-yewa-yo,mo-getza,yewa-yu-tl"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
g	g	K	Consonant	20	U+0067	"-geːch,-maga,mo-getza"	MNa,PNa,Poch
i	i	I	Vowel	434	U+0069	"istaːʔ,itá,piná"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
k	k	K	Consonant	355	U+006B	"-kwiːtlapiːl,mu-ralih-tuk,tlil-tik"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
l	l	L	Consonant	330	U+006C	"tunél,xaːl-li,yawal-tiʔ"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
m	m	M	Consonant	186	U+006D	"-maga,-maː,-tam-ba"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
n	n	N	Consonant	246	U+006E	"*to-toːnɨ-k ?,neh,xiːn-öch-tliː"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
o	o	U	Vowel	174	U+006F	"*mochɨ-m,*teːn-tok,yowal"	CNa,JNa,MNa,NPN,PA,PNa,Poch,TNa
p	p	P	Consonant	61	U+0070	"-yel-tlapach,aː-pataːni,pok-tli"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
r	r	R	Consonant	15	U+0072	"-bwirapil,mu-ralih-tuk,truːnik"	JNa,PNa,Pip,TNa
s	s	S	Consonant	101	U+0073	"*ɨs-tlɨ,kristanuh,teksis-ti"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
t	t	T	Consonant	677	U+0074	"kwaw-tl,omi-tl,tzon-kal"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
u	u	Y	Vowel	78	U+0075	"lusero,ta-yuwa,tzun-tekon"	JNa,MNa,PNa,Pip,Poch,TNa
w	w	W	Consonant	165	U+0077	"kwaːkwaw-tl,wah-kiː,wak-tuk"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
x	x	G	Consonant	75	U+0078	"okóx-t,xaːhli,xuxuwi-k"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
y	j	J	Consonant	102	U+0079	"-yewayo,-yol-o,yes-tli"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
z	z	S	Consonant	62	U+007A	"mo-getza,mo-ketza,to-tah-tziːn"	CNa,JNa,MNa,NPN,PA,PNa,Pip,Poch,TNa
